en,fr,position,score,rel_score,ratio_score,index,correctness,freqs
monte,montecristo,8,0.5117135888736308,0.0938239400012937,0.8450567710053964,6405,no,8147
upgraded,rénovés,9,0.517935512713184,0.0774104041893003,0.8699740739097402,7072,no,102777
quarters,dortoirs,0,0.537153459240397,0.0,1.0,6708,no,133036
chad,ouganda,5,0.516997223714349,0.0733905102136154,0.875690997634158,7184,no,3030
pushed,bousculé,9,0.5424105005319221,0.1114790016531792,0.8295140061422456,5991,no,278522
norton,dutton,5,0.4924570130712203,0.1669865219650123,0.7467766183258778,6851,no,2774
skill,maniement,5,0.6411195881963216,0.1330090697206739,0.8281822170508826,6250,no,429058
sanctions,sanctionnées,6,0.6056418664578194,0.1979009739938412,0.7537144704287282,6559,no,98592
uruguay,chili,4,0.6882585064327671,0.1204085927075364,0.8511023969745484,6257,no,659
undelete,discussion_wikip%c,0,0.5964868024427076,0.0,1.0,7008,no,1516
diana,phyllis,8,0.5162783608659838,0.1657565563102716,0.7569676388468013,6547,no,2983
ammunition,obus,5,0.663711334914935,0.1503676987262573,0.8152910313219879,7014,no,49304
maxwell,newton,8,0.5074575406849068,0.1609322178247848,0.7592239920258274,7247,no,916
disorders,neurodégénératives,4,0.7153455385264805,0.0321350243117065,0.9570088830274198,6653,no,256984
moments,instant,9,0.4995660244043755,0.2231596685429466,0.691224940913769,6461,no,401837
mcdonald,mcdonald,0,0.7679768345860569,0.0,1.0,6329,yes,1663
andrews,stanfield,5,0.5498681913953831,0.1703251659592114,0.763500781811085,5931,no,1368
harmony,unisson,5,0.5062822982115652,0.2098307219687173,0.7069865844418076,6803,no,132933
duck,canards,2,0.5605938612948695,0.0660625658541046,0.8945792893968042,5993,yes,78432
boris,grigorovitch,6,0.5937926124212307,0.1135682322986237,0.8394479519945698,7231,no,708
enrolled,enseigner,9,0.5954448596216027,0.0626152502560318,0.9048487374995652,6247,no,122426
napoleon,napoléoniennes,4,0.6469045876113353,0.1421554216632305,0.8198420652518896,6259,no,1387
handling,déchargement,8,0.5105889596682636,0.0485818122842692,0.9131181121741584,5685,no,350785
duck,pingouin,7,0.4823188892144649,0.1443375379345092,0.7696703780871044,5993,no,78432
governed,régit,1,0.6492791981042945,0.0435879133606187,0.9370905147042384,7244,no,72952
canvas,toile,0,0.7360801869146072,0.0,1.0,7288,yes,116161
physically,psychiquement,2,0.6346795453259522,0.1392506451927274,0.8200733775492035,7142,no,258495
occasional,occasionnelles,3,0.6156462828476261,0.0761307262587684,0.8899490366742447,6096,yes,167904
arrives,attend,6,0.6577505941597498,0.0651044302110978,0.9099343187553232,5674,no,146400
destroyer,escorteur,6,0.6978129842225318,0.0764865842493509,0.9012183560940104,6237,no,11629
busy,arrête,4,0.4600558011008994,0.0093292807774356,0.9801244625412832,6550,no,607913
capabilities,furtivité,9,0.5982872447961382,0.1609683346338614,0.7879918975969776,7121,no,395906
atp,bisphosphate,7,0.5293940847599661,0.2577961896213818,0.6725109569932332,6688,no,498
recall,rappellerai,8,0.4977094033009646,0.0813924011332408,0.8594506173007648,5813,no,275207
joshua,matthew,6,0.519710113890024,0.0987901164577225,0.840274729724549,7045,no,3272
robertson,stewart,1,0.6539361335094144,0.0524720578929636,0.9257199186934756,6179,no,1268
locality,fossilifère,8,0.4219639581927348,0.1265282492634428,0.7693162317651489,6899,no,36077
enrolled,baccalauréat,2,0.6512237678792229,0.0068363419984116,0.9896113715209348,6247,no,122426
cleared,nettoyée,6,0.4627092078953579,0.0282311135181705,0.9424958344491102,7103,no,137770
worcester,wolverhampton,9,0.5885008599528445,0.1355854452683279,0.812749606931299,7328,no,6455
boeing,boeing,0,0.8797535675477184,0.0,1.0,6635,yes,2189
breast,prostate,9,0.5616897414712847,0.0290485343016619,0.9508267273461268,7144,no,454167
aftermath,débâcle,3,0.5534721237703908,0.0531600661985072,0.9123685371835728,6876,no,60640
sustained,causé,9,0.4914475187899367,0.0666832482992416,0.8805239699523911,6258,no,156637
pronounced,prononcera,7,0.5855224014559068,0.1263031175005606,0.8225644991124786,5791,no,120440
leslie,gordon,4,0.5555987210430828,0.0122490509020181,0.9784289883535858,5772,no,1756
rendered,rendu,0,0.5246260365517809,0.0,1.0,6833,yes,106816
demonstration,demonstration,3,0.551850684723725,0.1016896633299022,0.8444018588404615,7073,no,153964
trinidad,grenadines,5,0.6459539976157114,0.0676710984406769,0.9051727597380772,6580,no,2154
eliminate,débarrasser,7,0.6189154991946129,0.1109279900254635,0.8480112631490306,7308,no,372089
boom,boom,0,0.6475098974870641,0.0,1.0,6505,yes,114183
pack,dlc,7,0.4573205583332659,0.1585745654295968,0.7425299222036826,5783,no,429780
indicating,signalant,5,0.6039664204833707,0.1359205376045028,0.8162955352588332,5650,no,139478
unified,unifiant,0,0.5878767557611977,0.0,1.0,6568,no,78099
arrive,arrivent,0,0.766269284966684,0.0,1.0,5814,no,373596
stationed,détachements,8,0.6481595658328908,0.1644403157330547,0.7976367958408203,6994,no,41580
complaint,plainte›,9,0.6054225666539693,0.1083335368452005,0.8482205107401557,5962,no,242782
desired,souhaitée,0,0.6519537147604264,0.0,1.0,6304,yes,383727
app,multiplateforme,5,0.5907688393610848,0.0383067221228308,0.9391063260628504,7238,no,450833
warrior,guerriers,1,0.6664803353694884,0.0929599011789885,0.877594184894028,5815,no,67574
mistakes,fautes,3,0.6727831090865706,0.0560331757827188,0.9231175579552696,6940,yes,294825
economist,economist,3,0.6705022215974186,0.1984938273516188,0.771582589366572,7026,yes,57898
rendered,matériellement,7,0.4156766951680787,0.1089493413837021,0.792329518946876,6833,no,106816
farms,élevages,3,0.6154443694117543,0.1018787696322768,0.8579736745031681,5836,no,144871
funny,humour,4,0.618034115316789,0.0372140135437225,0.9432062269167584,5733,no,501376
joke,stupide,5,0.5984027033176937,0.1274763477033842,0.8243834871331993,5926,no,178208
dos,estação,7,0.5468509538689788,0.0531239942073393,0.9114563126716052,5810,no,17467
jennifer,cheryl,2,0.6467912342346641,0.0912123965576657,0.8764065747756024,5745,no,10140
assumption,plausibilité,9,0.5185123537474816,0.0772279827163894,0.8703663693904115,6224,no,131169
salem,covington,9,0.4248805480744204,0.1524567873158653,0.7359311827411906,6556,no,8137
prey,proies,0,0.7156864446509055,0.0,1.0,7054,yes,88568
authorized,autorisée,2,0.5450203263830383,0.0191391784735114,0.9660748807584516,6277,yes,207847
acceptance,exigence,1,0.571009569399477,0.1587388606028228,0.7824745431760332,6790,no,215467
commanders,militaires,6,0.6210634730058178,0.1859820290849818,0.7695519910548275,6555,no,31867
paragraphs,réfs,8,0.560379894767217,0.1793146204805147,0.7575828713283613,7000,no,78042
leicester,nottingham,3,0.6876771651909264,0.0534275493066951,0.927908231776784,6987,no,1493
customer,affacturage,5,0.6055469441087966,0.0967496175731237,0.8622382297566439,5748,no,1439964
entities,entité,1,0.6587512229272392,0.1636701808111619,0.8009898817477484,7168,no,185095
forgotten,souvienne,3,0.5405633701828834,0.1215997476177167,0.8163598298533827,6841,no,215806
andrews,southworth,6,0.5451549234928044,0.1750384338617902,0.756956333914632,5931,no,1368
joke,blague,0,0.725879051021078,0.0,1.0,5926,yes,178208
hopes,ambitionnant,1,0.6044678191730887,0.0309297729210537,0.9513221747990648,6356,no,332841
para,papá,1,0.5105597864057085,0.104717686754723,0.8298041268814367,6619,no,31456
lover,fiancée,4,0.6647651541123933,0.05244640671784,0.9268745659131192,6027,no,173040
mhz,fréquences,3,0.5917076738702705,0.1337937205907713,0.8155844749407221,7097,no,3402
constantly,continuelle,4,0.6160267868936997,0.1483541113227642,0.8059159881298447,5698,no,564896
tan,kuang,1,0.5011277611639748,0.0411941858260189,0.9240410865636992,6946,no,72754
terrain,accidentée,7,0.6118076208339802,0.0677190120331492,0.900343844144236,7203,no,123228
velocity,subsonique,3,0.6406140029526801,0.0162612366986221,0.9752445583011252,6613,no,86178
bombers,bombardiers,0,0.7335475489582474,0.0,1.0,6869,yes,25222
paralympics,préolympique,3,0.6819177268207843,0.1064358191507388,0.8649897375427249,6404,no,210
prairie,huron,5,0.5016896789890242,0.160422856574357,0.7577105885212462,7236,no,29869
consultant,coordonnateur,9,0.5791145466752602,0.1709347992567516,0.7721019287813018,6413,no,230353
naples,naples,0,0.8263415956633813,0.0,1.0,6698,yes,1879
ghana,nigéria,3,0.7126346096274929,0.0756084320414367,0.9040797976708392,5775,no,3253
involve,survenir,6,0.6043958287186939,0.0567926372182513,0.914105220910391,5751,no,359878
excess,excédentaires,4,0.6040815290992008,0.0230592449572306,0.963231150148187,7189,yes,447522
offense,fumbles,9,0.5127816178473921,0.0401000695125084,0.9274707945130308,6702,no,215964
inland,littoraux,5,0.5883353823088817,0.0776045264909703,0.8834661724496611,6930,no,46861
rulers,vassaux,5,0.6454624962741704,0.096793334675602,0.8695957234155404,6256,no,52050
cream,sirop,9,0.6114860771959996,0.1427353781135143,0.8107513687012003,6322,no,438190
magnitude,magnitude,0,0.7727410157952685,0.0,1.0,6194,yes,103281
supplied,fournissant,3,0.6292007648955209,0.0795641892096077,0.8877424895957733,5631,no,255570
comparable,comparer,3,0.5917482895853212,0.1108807515472625,0.8421916188255878,6104,no,176111
diploma,certificat,7,0.6503758965101532,0.1398014691645916,0.823075836846816,7223,no,80053
seized,confisque,6,0.6594422528950543,0.0580311899827337,0.9191172989623554,7186,no,90797
reserved,réservées,2,0.618259702480356,0.037563874005188,0.9427225928557084,6839,no,142397
prevented,conséquence,7,0.5980783132778014,0.0673606635393124,0.898772590897053,6471,no,127603
garcia,alvarez,2,0.6054477378184808,0.0478076623562057,0.9268162768445212,7011,no,1943
demonstration,manifestation,2,0.5883109569712246,0.0652293910824026,0.9001907207769669,7073,yes,153964
carroll,donahue,8,0.5889871219123877,0.1035844594931039,0.8504350131102816,6527,no,1311
hey,dis,6,0.5445384636226508,0.073689868647672,0.8808047693688505,6294,no,138190
discovers,persuadée,6,0.6602687856444638,0.1408656238967915,0.8241673029904509,5798,no,52200
portraits,portrait,4,0.7216733843739047,0.1508967148386877,0.8270663698253504,6730,no,59414
bradley,morrison,6,0.5640193596937941,0.1048372294883914,0.843259031631016,6018,no,2776
orlando,antonio,9,0.5165359377862928,0.2045348538702318,0.7163456678083556,5853,no,19460
algebra,algébrique,1,0.7479956524046152,0.0082289218941704,0.9891184151192114,7173,no,22084
settings,configurable,2,0.5080697032936925,0.0314151017516493,0.9417683288614422,6760,no,394666
formats,codecs,8,0.572354398825663,0.214546750639089,0.7273523481506882,6415,no,163655
spotted,aperçue,3,0.4966059548358456,0.1078887349888814,0.8215224437783503,6802,no,115863
adr,fr/habitants_departement_nord_,0,0.4431570631064545,0.0,1.0,5833,no,682
compensation,indemnisations,4,0.7135601192911323,0.0353354262805652,0.9528166157623617,6861,no,347995
jumping,sauteur,9,0.4992956521608184,0.1148114632605461,0.8130432617088809,6958,no,152327
upgraded,amélioré,8,0.5250087073612424,0.070337209541242,0.881854888822958,7072,yes,102777
speedway,nascar,2,0.5585402360617101,0.0784667633221747,0.8768196214514629,6468,no,6178
gravity,gravitationnels,6,0.6375459076206579,0.0604317462692483,0.9134187950968694,5882,no,116319
monarch,souverains,4,0.5735839592443382,0.1948019849837595,0.7464789843605832,6316,no,21965
geological,géophysique,4,0.7155900670371593,0.1174993709777902,0.8589594758784089,6183,no,35650
emily,abby,8,0.6339040277341017,0.1102564910215775,0.8518377577919091,6060,no,6218
extends,étirant,9,0.5978095647919597,0.1222543332396639,0.8302173826880364,6347,no,127925
viola,piano,5,0.6921486100872514,0.0602454063920676,0.9199283818417718,6618,no,9546
wireless,téléphonie,0,0.7219175735465126,0.0,1.0,6409,no,367025
unofficial,officielles,5,0.5085880312049272,0.121645095904208,0.8069839704202931,6783,no,34310
consultant,embauché,8,0.5795124639640332,0.1705368819679785,0.7726324502608968,6413,no,230353
marion,blakelock,9,0.5166101921920325,0.0910787109648807,0.8501228005123487,6441,no,1539
thames,ouse,4,0.5444191868853809,0.1173147954605886,0.822716078378375,6951,no,877
algeria,mauritanie,4,0.6961921014993857,0.0856760576592674,0.8904213496154376,6135,no,578
reliability,pertinence,4,0.6309102614600193,0.1965866518904778,0.7624321629255298,6825,no,167753
bce,achéménide,6,0.5797201426829818,0.0868510790484585,0.8697047273915305,7178,no,926
placement,optionnels,8,0.4372510618842254,0.1342994934279391,0.7650260468129743,7214,no,219681
pack,précommande,2,0.4863619795528977,0.1295331442099649,0.7896831145235061,5783,no,429780
diploma,baccalauréats,3,0.6845322726696395,0.1056450930051053,0.8663020511668372,7223,no,80053
unified,unifié,2,0.5780422665068288,0.0098344892543689,0.9832711717924024,6568,yes,78099
galleries,musées,3,0.6569759941055724,0.0953007808431064,0.8733168641958833,6923,no,100622
buddhism,bouddhistes,2,0.772748714085172,0.1111541133274623,0.8742462294720412,6387,no,2144
memphis,atlanta,5,0.6116110477818857,0.1347848362298993,0.8194191057090942,5996,no,10784
portions,délimitant,8,0.4667548662310274,0.2391268667620124,0.6612366412315556,6006,no,142431
edmund,thomas,2,0.5148256372948493,0.1664742218514722,0.7556520530327618,6109,no,518
canon,théologie,6,0.4874768364330194,0.0928120948198328,0.8400588227325821,5780,no,40018
altered,altéré,2,0.6524676308329738,0.0589468370681012,0.9171413574958416,6270,yes,140529
mess,foutue,5,0.5240707808032702,0.0288741799244411,0.9477810958138748,6795,no,244829
climb,grimpe,2,0.6310185786013134,0.0556733021090124,0.9189253525883792,6948,no,194236
instructor,instructor,3,0.5976814951195771,0.1190800641978444,0.8338637687109707,6562,no,181012
chicken,poulets,4,0.6429906437770403,0.0526346022812295,0.9243348303134752,6417,yes,338089
accomplished,perfectionné,9,0.5148685967756457,0.140981378928842,0.7850402010346872,6608,no,293551
keyboard,clavinet,9,0.6007749161235804,0.2336342799123326,0.7200003535168649,5896,no,230620
evangelical,évangéliques,1,0.782216393365063,0.0400269096494168,0.9513198714995044,7138,no,36492
recruited,recrutant,6,0.6472764974417409,0.0532666127195784,0.9239638332788508,6610,no,61210
speaks,entend,6,0.5395065156531613,0.1107161788242001,0.8297257543229984,6243,no,217215
rivals,rivales,2,0.5686766772986287,0.1584470201068952,0.7820906942350307,6486,no,86609
recruited,recrutés,1,0.6929214692277165,0.0076216409336028,0.9891203827101408,6610,yes,61210
implement,simplifier,7,0.6159003401805128,0.1005012012117207,0.8597138679846923,6742,no,402948
chest,poignet,7,0.6234178924059985,0.0713766536687672,0.8972694099687327,7289,no,334504
outline,esquissée,5,0.4868318626968678,0.0420141096801647,0.9205551107984776,6863,no,145869
varieties,variété,2,0.6049899381094682,0.1159784682908068,0.8391351586820898,6536,no,245288
rebel,rébellion,3,0.6270156686898135,0.0998963964336382,0.8625743040643123,5777,no,52615
dot,alphanumérique,5,0.4113065385298142,0.0145555747518927,0.9658209211434025,7193,no,93095
myspace,twitter,3,0.5994342474612263,0.1907838318452192,0.7585681258866346,6066,no,40138
brass,vibraphone,8,0.5661428614655254,0.1021428821149507,0.8471568739927032,6927,no,85995
mate,couvée,9,0.3959853280065654,0.1058934328446968,0.7890059490362064,6338,no,129778
observer,observer,5,0.4409564168732756,0.2722326087633387,0.6182882812584846,6119,no,57335
bread,pain,0,0.7172362066274117,0.0,1.0,7027,yes,314792
bonds,covalente,6,0.4952788951141285,0.0328913343353975,0.9377258836233956,7044,no,217570
colored,coloré,0,0.6411862157526691,0.0,1.0,5987,yes,211958
performs,effectuera,2,0.5576766156150507,0.0363328866940269,0.9388345025579709,7218,no,138111
admit,reprocher,6,0.6117089684537903,0.1006402035789676,0.8587206842793388,6577,no,348615
kerry,donegan,9,0.5307114965659341,0.1388570522551471,0.7926171226237632,7023,no,2868
crops,vivrières,0,0.7285895060253277,0.0,1.0,6397,no,169439
proceedings,ratifications,6,0.4881856358764714,0.0483563013723511,0.9098741440039088,5722,no,172239
kumar,rajkumar,0,0.6797859561753856,0.0,1.0,6331,no,2562
rebels,rébellion,2,0.651176652691285,0.1423867068171473,0.8205729824706777,5640,no,51578
assertion,affirmation,2,0.6821406231738925,0.0078267521287127,0.9886563446202364,5761,yes,65575
terminology,acceptions,6,0.6141573628723156,0.1575245643457411,0.7958685323710725,6614,no,74937
variables,variable,8,0.6550144096561814,0.1239831873947243,0.8408426574560764,7276,no,170150
interpreted,explicitant,5,0.5582066384294515,0.0334358008748639,0.9434864731573692,6302,no,94172
environments,écotones,5,0.5939078471930017,0.2194382221812016,0.7302031319213976,7226,no,232945
shoulder,poignets,6,0.6929015783578986,0.1181684245535225,0.8543055172434629,6625,no,341486
paralympics,paralympic,4,0.6708291960170374,0.1175243499544858,0.8509243085731855,6404,no,210
fac,relectures,1,0.5542319153443291,0.0003299668123588,0.999404995505505,6773,no,4594
conventions,nommage,5,0.510831695853873,0.2200569896419736,0.6989185986745937,6714,no,67831
judaism,judaïsme,0,0.8478523054476137,0.0,1.0,6034,yes,1051
sanctuary,grotte,6,0.4784958285925576,0.1546092414881145,0.7557921286771345,6481,no,64770
silly,franchement,1,0.6771609598504235,0.0047148738883234,0.9930854362993454,7119,no,176131
provider,hébergeur,9,0.5649121636900327,0.0991854170343597,0.8506463207919398,7291,no,657989
lens,reflex,5,0.5546500019380273,0.0434179651781846,0.9274029582498138,6489,no,262820
nicolas,antoine,9,0.4880729129228369,0.1200441238729741,0.8025970058239272,7324,no,1070
paradise,paradise,0,0.6006979740812435,0.0,1.0,6542,yes,88552
infection,hémorragique,7,0.7397214816905044,0.1272050159919431,0.8532689722462055,6747,no,402091
andré,andré,0,0.6020379278365315,0.0,1.0,5874,yes,0
chi,chung,2,0.4961976811072207,0.1944079537843119,0.7184964269588593,5654,no,31885
beatles,beatlemania,2,0.6178214210361663,0.1755961584291886,0.7786838066437672,7125,no,5529
für,deutschen,4,0.7353010654005132,0.1052885231359447,0.8747444358438207,7147,no,0
norton,atkinson,7,0.4859094514232236,0.173534083613009,0.736847699017211,6851,no,2774
indicating,indiqueraient,6,0.602622049211301,0.1372649088765725,0.8144785397605696,5650,no,139478
mess,ça,3,0.5275699694533378,0.0253749912743735,0.9541093724030354,6795,no,244829
subway,tram,4,0.5374993789394871,0.1804706365540989,0.7486376413226254,7024,no,54979
physically,matériellement,4,0.5820643107782915,0.1918658797403881,0.7520889066082281,7142,no,258495
neighborhoods,résidentiel,4,0.6173641099740603,0.0960579564072579,0.8653560620931009,7003,no,110790
andrews,mccallister,9,0.5430910553616844,0.1771023019929101,0.7540906199920531,5931,no,1368
promised,souhaitait,7,0.6300854749452156,0.157962391662813,0.7995522881843131,6320,no,254327
sick,infirmes,7,0.5563656902583323,0.0833720358523197,0.8696777875533647,6598,no,422989
harmony,harmonieuse,2,0.5303922486544892,0.1857207715257933,0.7406543851429515,6803,no,132933
militia,milices,1,0.7457951146223216,0.0777621465916872,0.9055777293772412,5789,yes,39473
andrews,andrews,0,0.7201933573545946,0.0,1.0,5931,yes,1368
aims,objectif,1,0.6898190016868483,0.0768135503417616,0.8998039541387814,5726,no,271185
observations,observationnelles,2,0.7058696197598611,0.1737860516993637,0.8024385480160923,6317,no,156403
philosophical,philosophiques,1,0.7956728530837174,0.049658774123756,0.9412552748229682,5752,yes,89098
cello,clavecin,8,0.7539142202073896,0.1262237657248055,0.8565863901543619,7280,no,18903
dubai,émirats,7,0.6231838796930909,0.1706355948618412,0.7850448366015322,7061,no,13630
rubber,nylon,6,0.5217191670310828,0.2120272289241513,0.7110347252225725,7030,no,192978
achievements,récompensent,5,0.5715469511245996,0.070202228008085,0.8906079971883059,5638,no,156769
confusing,illogique,1,0.6641598709660477,0.0141338838279301,0.979162591829814,6374,no,152052
perception,perception,0,0.7695602588894231,0.0,1.0,7166,yes,225747
patron,patronne,1,0.5848265378933899,0.0158990465270321,0.9735335951399982,6490,yes,47895
maya,précolombiennes,7,0.4847945083865776,0.2055561348646134,0.7022438714671846,7137,no,5492
forwards,repositionné,9,0.4801064415900887,0.1684707045294347,0.7402456970039645,7006,no,51320
zhang,wang,2,0.8262709354143853,0.0425008150895118,0.9510794232606424,5838,no,4199
sovereign,souverain,1,0.6439498551916579,0.0287215340625536,0.9573022808441471,6859,yes,84672
dale,mckeever,5,0.5126958208032685,0.0439743617256065,0.9210046395410706,6167,no,3913
performs,exécute,1,0.5932037584028902,0.0008057439061873,0.9986435504767932,7218,no,138111
refuge,réfugia,6,0.5106295494008687,0.2484222238933221,0.6727203168036873,6712,no,63945
concentrated,concentra,8,0.6088210933027969,0.1391183576679502,0.813997834333529,6916,no,128634
thames,thames,1,0.6603957828598424,0.0013381994861272,0.9979777380007248,6951,no,877
deeply,viscéralement,9,0.520763875699227,0.2150472337274702,0.707741251834288,6238,no,306771
temporarily,subitement,6,0.5355507734371342,0.2838167338779471,0.653614853720569,5667,no,117242
explicit,explicité,3,0.660743845832196,0.1172112806291195,0.8493341368386137,7241,no,100101
limestone,affleurement,6,0.6815691312392234,0.1306721866910811,0.8391214731306076,7176,no,37104
chip,intel,8,0.5414597734478581,0.0571775448632667,0.904487169252034,6882,no,176186
bacteria,bactériens,1,0.8346339454552822,0.0202756749137741,0.976283253304576,6650,no,272230
phrases,allitérations,8,0.5926901384309857,0.1016134991138363,0.8536468864355093,6774,no,222733
bonds,carbonyle,5,0.499528249234514,0.028641980215012,0.9457713089114024,7044,no,217570
rubber,polyesters,4,0.5268790404369388,0.2068673555182953,0.7180669552059833,7030,no,192978
recall,rappels,9,0.4966980917163934,0.082403712717812,0.8577042722249464,5813,no,275207
bengali,bengalî,1,0.6799049748620528,0.0122979401083046,0.9822336198788888,7263,no,924
boeing,convair,4,0.7049882783926462,0.1747652891550721,0.8013474504659024,6635,no,2189
notion,présupposés,4,0.6841835702235152,0.0917482343990768,0.8817573479363917,6438,no,244484
jeremy,matthew,5,0.553279370754591,0.0999870727349102,0.8469428917842201,6015,no,4991
notion,présupposition,1,0.7119516585758554,0.0639801460467366,0.9175441119108964,6438,no,244484
governance,gouvernance,0,0.837143972903398,0.0,1.0,7092,yes,152407
sail,navire,2,0.6435004726497277,0.0315212846992741,0.953303305625189,6588,no,82136
pastor,méthodiste,5,0.5932984556775381,0.0736859026323487,0.889523792103512,6672,no,103447
glenn,ronnie,6,0.5223335006598309,0.1005421796301984,0.838583873457087,5983,no,1933
jumping,ski,8,0.5011225905010619,0.1129845249203026,0.8160182123231396,6958,no,152327
distant,lointaines,5,0.586352694515571,0.0925339012609696,0.8636975573878798,6581,no,166675
dinner,déjeune,3,0.6624654462091286,0.1063497127961971,0.8616706349367645,6185,no,619310
guided,guided,5,0.4852134801711934,0.1362279813131405,0.7807871058558671,7065,no,162109
slight,accentué,3,0.538267183349843,0.0363898029439684,0.9366756102998754,7245,no,212485
theoretical,théorie,8,0.6851717361791243,0.1421420981158097,0.8281884186827987,5738,no,127428
protagonist,intrigue,7,0.6060594102271856,0.1822622367912861,0.7687971179268969,6936,no,36353
ana,monica,9,0.5199258741819662,0.2328804791241069,0.6906502208683895,7157,no,10889
grants,dotations,7,0.5885316526517175,0.0876337440296508,0.8703959941461678,5930,no,273240
holders,détenteur,2,0.5187480015290937,0.1502711397056074,0.7753858889175037,7132,no,138931
assassination,conspirateur,9,0.6269952846756337,0.2119085952174391,0.7473982415667823,6509,no,51835
ahmed,mahmoud,3,0.7204561104584658,0.0362484516274145,0.9520969564033096,6038,no,1089
anton,anton,0,0.6856284328476634,0.0,1.0,6811,yes,663
